id,year
spotify:playlist:6bHjBCFN8Lqj0K54RWFci8,1979
spotify:playlist:7DCh6mOvaEGMVph25k7hyN,1980
spotify:playlist:5wbHH4DqF4AVuGmjXI8kcW,1981
spotify:playlist:1bk6tO6d5oes6n0vhACi5x,1982
spotify:playlist:7GN1ulgzXBWpn5VADARkNd,1983
spotify:playlist:1PGfIx39B5FnyHa1B9zEST,1984
spotify:playlist:7fGtXiE8qbQzqEisHw5CLS,1985
spotify:playlist:4rhgAIno9OiopUzNhOZDbc,1986
spotify:playlist:3fniVM8pbMq8jcR23aVIY8,1987
spotify:playlist:1LCUqaG3ZbFnpJweV1lrj1,1988
spotify:playlist:6taan6n01bwB2B7EtN9KYI,1989
spotify:playlist:2mI2QBJDL4klpigMkqaFs5,1990
spotify:playlist:61FusglQju0yXpz3v7nYd5,1991
spotify:playlist:0p6VwHqAZNV9xw5HuIKHJd,1992
spotify:playlist:35wZqszdyXNFCAztyLWlgT,1993
spotify:playlist:7A1EbS3Zux6zhXyeSpHEx9,1994
spotify:playlist:5zYgmmRp9ozLstVry1JLbw,1995
spotify:playlist:0YKbjLgCPsp7K3k2JH4NZw,1996
spotify:playlist:6NewzRggzRDBBPowRuXBor,1997
spotify:playlist:6RSRHtcA8MRpATzsi4XolB,1998
spotify:playlist:1S5KiIejEMY86TfJDxF3ug,1999
spotify:playlist:6sBduygGNeCecOenI9ZZ2F,2000
spotify:playlist:3aC9OQXALT39AwIsDt1FoE,2001
spotify:playlist:4PKrJacjOzTGAs2X85Lk7q,2002
spotify:playlist:3ZE5YJUjimJ6avd5qqyNog,2003
spotify:playlist:1FtOhbe9MmxVq3yhU9AYzP,2004
spotify:playlist:0zkjY0lqe24t46NYqR4227,2005
spotify:playlist:1DJUcPQ4PwaiTsXPE0KfGg,2006
spotify:playlist:3wU8xj1bC7JSG7aNKjeWAo,2007
spotify:playlist:4eYNvmehJoJls9qaMtRzSA,2008
spotify:playlist:1MMdvZO8NSzJkrGaQwOqdd,2009
spotify:playlist:4aUY170nZ3mhkzMpTAXDv2,2010
spotify:playlist:0Z9sNILOX5mWScDQjuyqBO,2011
spotify:playlist:59B77qi1KbJQnXLPHQDwXh,2012
spotify:playlist:1yI0s6n02tAYVVl94vS621,2013
spotify:playlist:1yI0s6n02tAYVVl94vS621,2014
spotify:playlist:1xkuRzFhnX3hCWu6hLxJ0U,2015
spotify:playlist:2LWafCgWzsXGWv7wJeePjA,2016
spotify:playlist:255aUSCuVTcdD5JTogG69d,2017
spotify:playlist:6J4j6rDdlbUD021gMr06Sl,2018
spotify:playlist:5lO5SKSvwbLetiBt6k7wNX,2019
spotify:playlist:1WBljFutuk7uLQtfqfmjWV,2020